Station,Train Operating Companies / Lines,Postcode,Cardinal Direction,Region,Closest Major City,Landmark 1,Landmark 2,Landmark 3
Letchworth Garden City,"Thameslink,Great Northern",Unknown,East,East of England,London,None,None,None
Baldock,"Thameslink,Great Northern",Unknown,East,East of England,London,None,None,None
Biggleswade,"Thameslink,Great Northern",SG18 8AX,East,East of England,London,None,None,None
Sandy,"Thameslink,Great Northern",SG19 1BT,East,East of England,London,None,None,None
St Neots,"Thameslink,Great Northern",PE19 2AB,East,East of England,London,None,None,None
Huntingdon,"Thameslink,Great Northern",PE29 3NB,East,East of England,London,Oliver Cromwell's House (1km),None,None
March,Greater Anglia,PE15 8HE,East,East of England,London,None,None,None
Whittlesea,Greater Anglia,Unknown,East,East of England,London,None,None,None
Manea,Greater Anglia,Unknown,East,East of England,London,None,None,None
Waterbeach,Greater Anglia,Unknown,East,East of England,London,None,None,None
Littleport,Greater Anglia,Unknown,East,East of England,London,None,None,None
Downham Market,Greater Anglia,PE38 9HJ,East,East of England,London,None,None,None
Watlington,Greater Anglia,Unknown,East,East of England,London,None,None,None
King's Lynn,Greater Anglia,PE30 1DW,East,East of England,London,King's Lynn Customs House,None,None
Wolferton,Greater Anglia,Unknown,East,East of England,London,None,None,None
Wymondham,Greater Anglia,Unknown,East,East of England,London,None,None,None
Spooner Row,Greater Anglia,Unknown,East,East of England,London,None,None,None
Attleborough,Greater Anglia,Unknown,East,East of England,London,None,None,None
Eccles Road,Greater Anglia,Unknown,East,East of England,Manchester,None,None,None
Harling Road,Greater Anglia,Unknown,East,East of England,London,None,None,None
Thetford,Greater Anglia,Unknown,East,East of England,London,None,None,None
Brandon,Greater Anglia,Unknown,East,East of England,London,None,None,None
Lakenheath,Greater Anglia,Unknown,East,East of England,London,None,None,None
Shippea Hill,Greater Anglia,Unknown,East,East of England,London,None,None,None
Diss,Greater Anglia,IP22 4DD,East,East of England,London,None,None,None
Stowmarket,Greater Anglia,IP14 1BJ,East,East of England,London,None,None,None
Needham Market,Greater Anglia,Unknown,East,East of England,London,None,None,None
Colchester,Greater Anglia,CO1 1JY,East,East of England,London,Colchester Castle,Balkerne Gate (Roman Wall),None
Clacton-on-Sea,Greater Anglia,CO15 1ER,East,East of England,London,Clacton Pier,None,None
Frinton-on-Sea,Greater Anglia,Unknown,East,East of England,London,None,None,None
Walton-on-the-Naze,Greater Anglia,Unknown,East,East of England,London,None,None,None
Harwich International,Greater Anglia,CO12 3HH,East,East of England,London,None,None,None
Harwich Town,Greater Anglia,Unknown,East,East of England,London,None,None,None
Dovercourt,Greater Anglia,Unknown,East,East of England,London,None,None,None
Manningtree,Greater Anglia,CO11 1AX,East,East of England,London,None,None,None
Mistley,Greater Anglia,Unknown,East,East of England,London,None,None,None
Wrabness,Greater Anglia,Unknown,East,East of England,London,None,None,None
Sudbury,Greater Anglia,Unknown,East,East of England,Manchester,None,None,None
Bures,Greater Anglia,Unknown,East,East of England,London,None,None,None
Chappel & Wakes Colne,Greater Anglia,Unknown,East,East of England,London,None,None,None
Marks Tey,Greater Anglia,Unknown,East,East of England,London,None,None,None
Witham,Greater Anglia,Unknown,East,East of England,London,None,None,None
Chelmsford,Greater Anglia,CM1 1LT,East,East of England,London,Chelmsford Cathedral,None,None
Ingatestone,Greater Anglia,Unknown,East,East of England,London,None,None,None
Shenfield,"Greater Anglia,Elizabeth line",Unknown,East,East of England,London,None,None,None
Brentwood,Greater Anglia,Unknown,East,East of England,London,None,None,None
Harold Wood,"Greater Anglia,Elizabeth line",Unknown,East,East of England,London,None,None,None
Gidea Park,"Greater Anglia,Elizabeth line",Unknown,East,East of England,London,None,None,None
Romford,"Greater Anglia,Elizabeth line",Unknown,East,East of England,London,None,None,None
Chadwell Heath,"Greater Anglia,Elizabeth line",Unknown,East,East of England,London,None,None,None
Goodmayes,Greater Anglia,Unknown,East,East of England,London,None,None,None
Seven Kings,Greater Anglia,Unknown,East,East of England,London,None,None,None
Ilford,"Greater Anglia,Elizabeth line",Unknown,East,East of England,London,None,None,None
Manor Park,"Greater Anglia,Elizabeth line",Unknown,East,East of England,London,None,None,None
Forest Gate,"Greater Anglia,Elizabeth line",Unknown,East,East of England,London,None,None,None
Maryland,Greater Anglia,Unknown,East,East of England,London,None,None,None
Braintree,Greater Anglia,Unknown,East,East of England,London,None,None,None
Braintree Freeport,Greater Anglia,Unknown,East,East of England,London,None,None,None
Cressing,Greater Anglia,Unknown,East,East of England,London,None,None,None
White Notley,Greater Anglia,Unknown,East,East of England,London,None,None,None
Notley,Greater Anglia,Unknown,East,East of England,London,None,None,None
Hatfield Peverel,Greater Anglia,Unknown,East,East of England,London,None,None,None
Lowestoft,Greater Anglia,NR32 1HP,East,East of England,London,Lowestoft Lighthouse,East Point Pavilion,None
Oulton Broad South,Greater Anglia,Unknown,East,East of England,London,None,None,None
Oulton Broad North,Greater Anglia,Unknown,East,East of England,London,None,None,None
Beccles,Greater Anglia,Unknown,East,East of England,Manchester,None,None,None
Halesworth,Greater Anglia,Unknown,East,East of England,London,None,None,None
Darsham,Greater Anglia,Unknown,East,East of England,London,None,None,None
Saxmundham,Greater Anglia,Unknown,East,East of England,London,None,None,None
Wickham Market,Greater Anglia,Unknown,East,East of England,London,None,None,None
Woodbridge,Greater Anglia,Unknown,East,East of England,London,None,None,None
Melton,Greater Anglia,Unknown,East,East of England,London,None,None,None
Trimley,Greater Anglia,Unknown,East,East of England,London,None,None,None
Felixstowe,Greater Anglia,Unknown,East,East of England,London,None,None,None
Bury St Edmunds,Greater Anglia,IP33 3AL,East,East of England,London,Bury St Edmunds Abbey,St Edmundsbury Cathedral,None
Thurston,Greater Anglia,Unknown,East,East of England,London,None,None,None
Elmswell,Greater Anglia,Unknown,East,East of England,London,None,None,None
Haughley Junction,Greater Anglia,Unknown,East,East of England,London,None,None,None
Newmarket,Greater Anglia,Unknown,East,East of England,London,None,None,None
Kennett,Greater Anglia,Unknown,East,East of England,London,None,None,None
Chippenham (Cambridgeshire),Greater Anglia,Unknown,East,East of England,London,None,None,None
Stansted Airport,"Greater Anglia,Stansted Express",CM24 1QW,East,East of England,London,None,None,None
Stansted Mountfitchet,Greater Anglia,Unknown,East,East of England,London,None,None,None
Elsenham,Greater Anglia,Unknown,East,East of England,London,None,None,None
Newport (Essex),Greater Anglia,Unknown,East,East of England,London,None,None,None
Audley End,Greater Anglia,Unknown,East,East of England,London,None,None,None
Whittlesford Parkway,Greater Anglia,Unknown,East,East of England,London,None,None,None
Great Chesterford,Greater Anglia,Unknown,East,East of England,London,None,None,None
Shelford,Greater Anglia,Unknown,East,East of England,London,None,None,None
Harlow Mill,Greater Anglia,Unknown,East,East of England,London,None,None,None
Harlow Town,Greater Anglia,Unknown,East,East of England,London,None,None,None
Sawbridgeworth,Greater Anglia,Unknown,East,East of England,London,None,None,None
Bishops Stortford,Greater Anglia,CM23 3JY,East,East of England,London,None,None,None
Hertford East,Greater Anglia,SG14 1BA,South,East of England,London,Hertford Castle,None,None
Ware,Greater Anglia,Unknown,East,East of England,London,None,None,None
St Margarets (Hertfordshire),Greater Anglia,Unknown,East,East of England,London,None,None,None
Rye House,Greater Anglia,Unknown,East,East of England,London,None,None,None
Broxbourne,Greater Anglia,EN10 6RH,South,East of England,London,Lee Valley White Water Centre (nearby),None,None
Cheshunt,Greater Anglia,Unknown,East,East of England,London,None,None,None
Waltham Cross,Greater Anglia,Unknown,East,East of England,London,None,None,None
Turkey Street,Greater Anglia,Unknown,East,East of England,London,None,None,None
Enfield Lock,Greater Anglia,Unknown,East,East of England,London,None,None,None
Brimsdown,Greater Anglia,Unknown,East,East of England,London,None,None,None
Ponders End,Greater Anglia,Unknown,East,East of England,London,None,None,None
Meridian Water,Greater Anglia,Unknown,East,East of England,London,None,None,None
Angel Road,Greater Anglia,Unknown,East,East of England,London,None,None,None
Northumberland Park,Greater Anglia,Unknown,East,East of England,London,None,None,None
Tottenham Hale,"Greater Anglia,Stansted Express",N17 9PP,South,London,London,None,None,None
Folkestone Central,Southeastern,CT19 5SD,South,South East,London,None,None,None
Folkestone West,Southeastern,Unknown,South,South East,London,None,None,None
Dover Priory,Southeastern,CT16 1HY,South,South East,London,Dover Castle,White Cliffs of Dover,Dover Town Hall
Deal,Southeastern,Unknown,South,South East,London,None,None,None
Sandwich,Southeastern,Unknown,South,South East,London,None,None,None
Canterbury East,Southeastern,CT1 2RB,South,South East,London,Canterbury Cathedral,St Augustine's Abbey,Canterbury Roman Museum
Canterbury West,Southeastern,CT2 8AA,South,South East,London,Canterbury Cathedral,Westgate Towers,None
Whitstable,Southeastern,Unknown,South,South East,London,None,None,None
Herne Bay,Southeastern,Unknown,South,South East,London,None,None,None
Margate,Southeastern,CT9 1AL,South,South East,London,Turner Contemporary Gallery,Margate Shell Grotto,Dreamland Margate
Broadstairs,Southeastern,CT10 1RJ,South,South East,London,Bleak House (Dickens),None,None
Ramsgate,Southeastern,CT11 9DA,South,South East,London,Ramsgate Harbour,Ramsgate Maritime Museum,None
Faversham,Southeastern,ME13 7AF,South,South East,London,Faversham Abbey remains,None,None
Sittingbourne,Southeastern,Unknown,South,South East,London,None,None,None
Rainham (Kent),Southeastern,Unknown,South,South East,London,None,None,None
Gillingham (Kent),Southeastern,Unknown,South,South East,London,None,None,None
Chatham,Southeastern,ME4 4HH,South,South East,London,Chatham Historic Dockyard,None,None
Rochester,Southeastern,ME1 1AA,South,South East,London,Rochester Castle,Rochester Cathedral,Guildhall Museum Rochester
Strood,Southeastern,Unknown,South,South East,London,None,None,None
Gravesend,Southeastern,Unknown,South,South East,London,None,None,None
Northfleet,Southeastern,Unknown,South,South East,London,None,None,None
Swanscombe,Southeastern,Unknown,South,South East,London,None,None,None
Stone Crossing,Southeastern,Unknown,South,South East,London,None,None,None
Greenhithe for Bluewater,Southeastern,Unknown,South,South East,London,None,None,None
Dartford,"Southeastern,c2c",DA1 2HY,South,South East,London,Dartford Museum,None,None
Crayford,Southeastern,Unknown,South,South East,London,None,None,None
Slade Green,Southeastern,Unknown,South,South East,London,None,None,None
Erith,Southeastern,Unknown,South,South East,London,None,None,None
Belvedere,Southeastern,Unknown,South,South East,London,None,None,None
Plumstead,Southeastern,Unknown,South,South East,London,None,None,None
Abbey Wood,"Southeastern,Elizabeth line",SE2 9RH,South,London,London,None,None,None
Bexleyheath,Southeastern,Unknown,South,South East,London,None,None,None
Barnehurst,Southeastern,Unknown,South,South East,London,None,None,None
Maidstone East,Southeastern,ME14 1PQ,South,South East,London,Maidstone Museum,All Saints' Church Maidstone,None
Maidstone West,Southeastern,Unknown,South,South East,London,None,None,None
Maidstone Barracks,Southeastern,Unknown,South,South East,London,None,None,None
Paddock Wood,Southeastern,Unknown,South,South East,London,None,None,None
Tonbridge,Southeastern,TN9 1TN,South,South East,London,Tonbridge Castle,None,None
Tunbridge Wells,Southeastern,TN1 1QD,South,South East,London,Pantiles (historic colonnaded walk),None,None
Sevenoaks,Southeastern,TN13 1AH,South,South East,London,Knole House & Park,None,None
Orpington,Southeastern,BR6 0TW,South,South East,London,None,None,None
Bromley South,Southeastern,BR1 1LR,South,South East,London,None,None,None
Bromley North,Southeastern,Unknown,South,South East,London,None,None,None
Beckenham Junction,"Southeastern,Thameslink,Southern",BR3 4PD,South,London,London,None,None,None
Crystal Palace,"Southern,Thameslink",SE19 1RT,South,London,London,Crystal Palace Park,Crystal Palace Dinosaurs,None
Norwood Junction,"Southern,Thameslink",Unknown,South,South East,London,None,None,None
Swanley,Southeastern,Unknown,South,South East,London,None,None,None
Ebbsfleet International,"Southeastern,Eurostar",DA10 1AH,South,South East,London,None,None,None
Ashford International,"Southeastern,Eurostar,South Western Railway",TN23 1LT,South,South East,London,None,None,None
Lenham,Southeastern,Unknown,South,South East,London,None,None,None
Charing (Kent),Southeastern,Unknown,South,South East,London,None,None,None
Harrietsham,Southeastern,Unknown,South,South East,London,None,None,None
Hollingbourne,Southeastern,Unknown,South,South East,London,None,None,None
Bearsted,Southeastern,Unknown,South,South East,London,None,None,None
Grove Park,Southeastern,Unknown,South,South East,London,None,None,None
Lee,Southeastern,Unknown,South,South East,London,None,None,None
Hither Green,Southeastern,Unknown,South,South East,London,None,None,None
Lewisham,Southeastern,SE13 7FG,South,London,London,None,None,None
Blackheath,Southeastern,Unknown,South,South East,London,None,None,None
Westcombe Park,Southeastern,Unknown,South,South East,London,None,None,None
Maze Hill,Southeastern,Unknown,South,South East,London,None,None,None
Greenwich,Southeastern,SE10 9HF,South,London,London,Cutty Sark,Royal Observatory Greenwich,National Maritime Museum
Deptford,Southeastern,Unknown,South,South East,London,None,None,None
New Cross,Southeastern,Unknown,South,South East,London,None,None,None
St Johns,Southeastern,Unknown,South,South East,London,None,None,None
Ladywell,Southeastern,Unknown,South,South East,London,None,None,None
Catford Bridge,Southeastern,Unknown,South,South East,London,None,None,None
Lower Sydenham,Southeastern,Unknown,South,South East,London,None,None,None
New Beckenham,Southeastern,Unknown,South,South East,London,None,None,None
Elmstead Woods,Southeastern,Unknown,South,South East,London,None,None,None
Chislehurst,Southeastern,Unknown,South,South East,London,None,None,None
Petts Wood,Southeastern,Unknown,South,South East,London,None,None,None
Chelsfield,Southeastern,Unknown,South,South East,London,None,None,None
Knockholt,Southeastern,Unknown,South,South East,London,None,None,None
Dunton Green,Southeastern,Unknown,South,South East,London,None,None,None
Bat & Ball,Southeastern,Unknown,South,South East,London,None,None,None
Otford,Southeastern,Unknown,South,South East,London,None,None,None
Shoreham (Kent),Southeastern,Unknown,South,South East,London,None,None,None
Eynsford,Southeastern,Unknown,South,South East,London,None,None,None
Farningham Road,Southeastern,Unknown,South,South East,London,None,None,None
Longfield,Southeastern,Unknown,South,South East,London,None,None,None
Meopham,Southeastern,Unknown,South,South East,London,None,None,None
Sole Street,Southeastern,Unknown,South,South East,London,None,None,None
Cobham & Stoke d'Abernon,South Western Railway,Unknown,South,South East,London,None,None,None
Hersham,South Western Railway,Unknown,South,South East,London,None,None,None
Walton-on-Thames,South Western Railway,Unknown,South,South East,London,None,None,None
Addlestone,South Western Railway,Unknown,South,South East,London,None,None,None
Chertsey,South Western Railway,Unknown,South,South East,London,None,None,None
Virginia Water,South Western Railway,Unknown,South,South East,London,None,None,None
Egham,South Western Railway,Unknown,South,South East,London,None,None,None
Sunningdale,South Western Railway,Unknown,South,South East,London,None,None,None
Ascot,South Western Railway,SL5 7LS,South,South East,London,Ascot Racecourse,None,None
Bracknell,South Western Railway,RG12 1BX,South,South East,London,None,None,None
Wokingham,"South Western Railway,Great Western Railway",RG40 2BZ,South,South East,London,None,None,None
Sandhurst,South Western Railway,Unknown,South,South East,London,None,None,None
Crowthorne,South Western Railway,Unknown,South,South East,London,None,None,None
Camberley,South Western Railway,Unknown,South,South East,London,None,None,None
Frimley,South Western Railway,Unknown,South,South East,London,None,None,None
Ash Vale,South Western Railway,Unknown,South,South East,London,None,None,None
Ash,South Western Railway,Unknown,South,South East,London,None,None,None
Glasgow Central,"ScotRail,Avanti West Coast,CrossCountry,Caledonian Sleeper,TransPennine Express,LNER",G1 3SL,North,Scotland,Glasgow,Lighthouse (Glasgow Centre for Design),Gallery of Modern Art,George Square
Glasgow Queen Street,"ScotRail,LNER",G1 2AF,North,Scotland,Glasgow,Gallery of Modern Art,George Square,Merchant City
Edinburgh Waverley,"ScotRail,LNER,Avanti West Coast,CrossCountry,TransPennine Express,Caledonian Sleeper",EH1 1BB,North,Scotland,Edinburgh,Edinburgh Castle,Scott Monument,Princes Street Gardens
Edinburgh Haymarket,"ScotRail,LNER,Avanti West Coast,CrossCountry,TransPennine Express",EH12 5EY,North,Scotland,Edinburgh,Haymarket Memorial,Murrayfield Stadium (1km),None
Aberdeen,"ScotRail,LNER,Caledonian Sleeper",AB11 6LX,North,Scotland,Glasgow,Aberdeen Art Gallery,Marischal College,None
Inverness,"ScotRail,Caledonian Sleeper",IV1 1LE,North,Scotland,Edinburgh,Inverness Castle,Inverness Cathedral,None
Dundee,"ScotRail,LNER",DD1 2SB,North,Scotland,Edinburgh,V&A Dundee Museum of Design,RRS Discovery,None
Perth,"ScotRail,LNER,Caledonian Sleeper",PH1 5JW,North,Scotland,Edinburgh,Scone Palace (3km),Perth Museum & Art Gallery,None
Stirling,ScotRail,FK8 1QZ,North,Scotland,Edinburgh,Stirling Castle,National Wallace Monument (1km),Church of the Holy Rude
Falkirk High,"ScotRail,LNER",FK1 4HP,North,Scotland,Edinburgh,The Falkirk Wheel (3km),Kelpies (3km),None
Falkirk Grahamston,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Motherwell,"ScotRail,Avanti West Coast,CrossCountry,LNER",ML1 1QY,North,Scotland,Glasgow,None,None,None
Hamilton Central,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Rutherglen,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Airdrie,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Bathgate,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Livingston South,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Livingston North,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Linlithgow,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Glasgow Argyle Street,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Glasgow High Street,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Glasgow Bridgeton,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Glasgow Dalmarnock,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Glasgow Cambuslang,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Newton (Lanarkshire),ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Kirkhill,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Croftfoot,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Kings Park,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Muirend,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Cathcart,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Langside,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Mount Florida,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Crosshill,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Queens Park,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Glasgow Pollokshields West,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Glasgow Pollokshields East,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Glasgow Shields Road,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Dumbreck,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Corkerhill,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Mosspark,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Crookston,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Priesthill & Darnley,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Nitshill,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Barrhead,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Dunlop,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Stewarton,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Kilmaurs,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Kilmarnock,ScotRail,KA1 1PE,North,Scotland,Glasgow,Dean Castle,None,None
Hurlford,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Mauchline,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Auchinleck,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
New Cumnock,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Cumnock,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Kirkconnel,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Sanquhar,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Dumfries,ScotRail,DG1 2BF,North,Scotland,Glasgow,Robert Burns House,Dumfries Museum,None
Annan,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Gretna Green,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Eastriggs,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Camelon,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Larbert,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Cumbernauld,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Greenfaulds,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Garrowhill,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Shettleston,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Carntyne,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Alexandra Parade,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Bellgrove,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Whifflet,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Coatbridge Central,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Coatbridge Sunnyside,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Blairhill,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Coatdyke,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Drumgelloch,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Armadale,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Blackridge,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Caldercruix,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Plains,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Greengairs,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Mossend,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Holytown,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Uddingston,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Glasgow Central Low Level,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Hyndland,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Partick,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Glasgow Exhibition Centre,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Anderston,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Charing Cross (Glasgow),ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Drumchapel,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Westerton,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Yoker,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Scotstounhill,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Garscadden,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Anniesland,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Knightswood North,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Kelvindale,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Maryhill,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Summerston,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Gilshochill,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Possilpark & Parkhouse,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Ashfield,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Bishopbriggs,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Lenzie,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Kirkintilloch,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Croy,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Stepps,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Robroyston,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Cardross,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Dalreoch,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Dumbarton Central,ScotRail,G82 1JT,North,Scotland,Glasgow,Dumbarton Castle,None,None
Dumbarton East,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Craigendoran,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Helensburgh Upper,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Helensburgh Central,ScotRail,G84 7AE,North,Scotland,Glasgow,None,None,None
Rhu,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Shandon,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Garelochhead,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Arrochar & Tarbet,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Ardlui,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Crianlarich,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Tyndrum Lower,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Dalmally,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Taynuilt,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Connel Ferry,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Oban,ScotRail,PA34 4LL,North,Scotland,Glasgow,McCaig's Tower,None,None
Bridge of Orchy,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Tyndrum Upper,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
County March Summit,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Rannoch,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Corrour,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Tulloch,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Roy Bridge,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Spean Bridge,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Fort William,"ScotRail,Caledonian Sleeper",PH33 6TQ,North,Scotland,Edinburgh,Ben Nevis (distant),Jacobite Steam Train Platform,None
Banavie,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Corpach,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Loch Eil Outward Bound,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Lochailort,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Beasdale,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Arisaig,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Morar,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Mallaig,ScotRail,PH41 4QB,North,Scotland,Glasgow,Mallaig Heritage Centre,None,None
Ardgay,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Culrain,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Invershin,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Lairg,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Rogart,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Golspie,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Dunrobin Castle,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Brora,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Helmsdale,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Kildonan,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Kinbrace,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Forsinard,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Altnabreac,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Scotscalder,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Georgemas Junction,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Thurso,ScotRail,KW14 8BN,North,Scotland,Edinburgh,Old St Peter's Church,None,None
Wick,ScotRail,KW1 4AA,North,Scotland,Edinburgh,Wick Heritage Museum,None,None
